Word,Pronunciation
values,ˈvæl.juz
view,vju
dark,dɑrk
everything,ˈɛv.riˌθɪŋ
pressure,ˈprɛ.ʃɚ
basis,ˈbeɪ.sɪs
space,speɪs
east,ist
father,ˈfɑ.ðɚ
complete,kəmˈplit
required,rɪˈkwaɪ.ɚd
spirit,ˈspɪ.rɪt
union,ˈjun.jən
except,ɪkˈsɛpt
i'll,aɪl
moved,muvd
wrote,roʊt
conditions,kənˈdɪ.ʃənz
return,rɪˈtɝn
support,səˈpɔrt
attention,əˈtɛn.ʃən
late,leɪt
particular,pɚˈtɪk.jə.lɚ
recent,ˈri.sənt
hope,hoʊp
live,lɪv
brown,braʊn
costs,kɔsts
else,ɛls
beyond,biˈɑnd
couldn't,ˈkʊ.dənt
forces,ˈfɔr.sɪz
nations,ˈneɪ.ʃənz
stage,steɪdʒ
taking,ˈteɪ.kɪŋ
coming,ˈkʌ.mɪŋ
dead,dɛd
hours,ˈaʊ.ɚz
inside,ˈɪnˌsaɪd
material,məˈtɪ.ri.əl
person,ˈpɝ.sən
read,rid
report,rɪˈpɔrt
data,ˈdeɪ.tə
heart,hɑrt
instead,ɪnˈstɛd
looking,ˈlʊk.ɪŋ
lost,lɔst
low,loʊ
miles,ˈmaɪ.əlz
added,ˈæ.dəd
amount,əˈmaʊnt
feeling,ˈfi.lɪŋ
followed,ˈfɑ.loʊd
makes,meɪks
pay,peɪ
single,ˈsɪŋ.gəl
basic,ˈbeɪ.sɪk
cold,koʊld
hundred,ˈhʌn.drəd
including,ɪnˈklu.dɪŋ
industry,ˈɪnˌdʌ.stri
move,muv
research,ˈriˌsɝtʃ
simply,ˈsɪm.pli
developed,dɪˈvɛ.ləpt
tried,traɪd
can't,kænt
hold,hoʊld
reached,ritʃt
committee,kəˈmɪ.ti
defense,dɪˈfɛns
equipment,ɪˈkwɪp.mənt
island,ˈaɪ.lənd
actually,ˈæk.ʃə.li
shown,ʃoʊn
central,ˈsɛn.trəl
religious,rɪˈlɪ.dʒəs
river,ˈrɪ.vɚ
son,sʌn
beginning,bɪˈgɪ.nɪŋ
getting,ˈgɛ.tɪŋ
sort,sɔrt
st.,seɪnt
ten,tɛn
doing,ˈdu.ɪŋ
received,rɪˈsivd
rest,rɛst
terms,tɝmz
trying,ˈtraɪ.ɪŋ
care,kɛr
especially,ɪˈspɛ.ʃə.li
friends,frɛndz
indeed,ɪnˈdid
medical,ˈmɛ.dɪ.kəl
picture,ˈpɪk.tʃɚ
administration,ədˌmɪ.nəˈstreɪ.ʃən
difficult,ˈdɪ.fɪ.kəlt
fine,faɪn
subject,ˈsʌb.dʒɛkt
building,ˈbɪl.dɪŋ
higher,ˈhaɪ.ɚ
simple,ˈsɪm.pəl
wall,wɔl
meeting,ˈmi.tɪŋ
walked,wɔkt
bring,brɪŋ
floor,flɔr
foreign,ˈfɔ.rən
paper,ˈpeɪ.pɚ
passed,pæst
range,reɪndʒ
similar,ˈsɪ.mə.lɚ
final,ˈfaɪ.nəl
natural,ˈnætʃ.rəl
property,ˈprɑ.pɚ.ti
training,ˈtreɪ.nɪŋ
cent,sɛnt
county,ˈkaʊn.ti
growth,groʊθ
international,ˌɪn.tɚˈnæʃ.nəl
market,ˈmɑr.kɪt
police,pəˈlis
england,ˈɪŋ.glənd
start,stɑrt
talk,tɔk
wasn't,ˈwʌ.zənt
written,ˈrɪ.tən
hear,hɪr
story,ˈstɔ.ri
suddenly,ˈsʌ.dən.li
answer,ˈæn.sɚ
congress,ˈkɑŋ.grəs
hall,hɔl
issue,ˈɪ.ʃu
needs,nidz
considered,kənˈsɪ.dɚd
countries,ˈkʌn.triz
likely,ˈlaɪ.kli
working,ˈwɝ.kɪŋ
you're,jʊr
earth,ɝθ
sat,sæt
entire,ɪnˈtaɪ.ɚ
happened,ˈhæ.pənd
labor,ˈleɪ.bɚ
meet,mit
purpose,ˈpɝ.pəs
results,rɪˈzʌlts
cases,ˈkeɪ.sɪz
difference,ˈdɪ.frəns
hair,hɛr
production,prəˈdʌk.ʃən
stand,stænd
william,ˈwɪl.jəm
fall,fɔl
food,fud
involved,ɪnˈvɑlvd
stock,stɑk
earlier,ˈɝ.li.ɚ
increased,ɪnˈkrist
particularly,pɚˈtɪk.jə.lɚ.li
whom,hum
below,bɪˈloʊ
club,klʌb
effort,ˈɛ.fɚt
hour,ˈaʊ.ɚ
knowledge,ˈnɑ.lɪdʒ
letter,ˈlɛ.tɚ
paid,peɪd
sent,sɛnt
thinking,ˈθɪŋ.kɪŋ
using,ˈju.zɪŋ
christian,ˈkrɪs.tʃən
yes,jɛs
bill,bɪl
blue,blu
boys,bɔɪz
certainly,ˈsɝ.tən.li
deal,dil
ideas,aɪˈdi.əz
industrial,ɪnˈdʌs.tri.əl
points,pɔɪnts
ready,ˈrɛ.di
square,skwɛr
trade,treɪd
addition,əˈdɪ.ʃən
bad,bæd
due,du
girls,gɝlz
method,ˈmɛ.θəd
methods,ˈmɛ.θədz
moral,ˈmɔ.rəl
decided,dɪˈsaɪ.dəd
directly,dəˈrɛk.li
nearly,ˈnɪr.li
neither,ˈni.ðɚ
reading,ˈri.dɪŋ
showed,ʃoʊd
statement,ˈsteɪt.mənt
throughout,θruˈaʊt
weeks,wiks
according,əˈkɔr.dɪŋ
anyone,ˈɛ.niˌwʌn
color,ˈkʌ.lɚ
kennedy,ˈkɛ.nə.di
questions,ˈkwɛs.tʃənz
try,traɪ
french,frɛntʃ
lay,leɪ
nation,ˈneɪ.ʃən
programs,ˈproʊˌgræmz
services,ˈsɝ.vɪ.sɪz
physical,ˈfɪ.zɪ.kəl
remember,rɪˈmɛm.bɚ
size,saɪz
comes,kʌmz
member,ˈmɛm.bɚ
record,ˈrɛ.kɔrd
southern,ˈsʌ.ðɚn
strength,strɛŋkθ
understand,ˌʌn.dɚˈstænd
western,ˈwɛs.tɚn
normal,ˈnɔr.məl
population,ˌpɑp.jəˈleɪ.ʃən
appeared,əˈpɪrd
concerned,kənˈsɝnd
district,ˈdɪs.trɪkt
merely,ˈmɪr.li
temperature,ˈtɛm.prə.tʃɚ
volume,ˈvɑl.jum
aid,eɪd
direction,dɪˈrɛk.ʃən
ran,ræn
summer,ˈsʌ.mɚ
trial,ˈtraɪ.əl
trouble,ˈtrʌ.bəl
continued,kənˈtɪn.jud
evening,ˈiv.nɪŋ
friend,frɛnd
list,lɪst
literature,ˈlɪ.tɚ.ə.tʃɚ
maybe,ˈmeɪ.bi
sales,seɪlz
army,ˈɑr.mi
association,əˌsoʊ.siˈeɪ.ʃən
generally,ˈdʒɛn.rə.li
influence,ˈɪn.flu.əns
led,lɛd
met,mɛt
provided,prəˈvaɪ.dɪd
chance,tʃæns
changes,ˈtʃeɪn.dʒɪz
former,ˈfɔr.mɚ
husband,ˈhʌz.bənd
opened,ˈoʊ.pənd
science,ˈsaɪ.əns
step,stɛp
student,ˈstu.dənt
average,ˈæ.vrɪdʒ
cause,kʌz
hot,hɑt
month,mʌnθ
series,ˈsɪr.iz
works,wɝks
direct,dɪˈrɛkt
effective,ɪˈfɛk.tɪv
george,dʒɔrdʒ
lead,lid
myself,ˌmaɪˈsɛlf
piece,pis
planning,ˈplæ.nɪŋ
soviet,ˈsoʊ.vi.ət
stopped,stɑpt
systems,ˈsɪs.təmz
theory,ˈθɪ.ri
wouldn't,ˈwʊ.dənt
wrong,rɔŋ
ask,æsk
clearly,ˈklɪr.li
freedom,ˈfri.dəm
movement,ˈmuv.mənt
organization,ˌɔr.gə.nəˈzeɪ.ʃən
ways,weɪz
worked,wɝkt
beautiful,ˈbju.tɪ.fəl
bed,bɛd
consider,kənˈsɪ.dɚ
efforts,ˈɛ.fɚts
fear,fɪr
forms,fɔrmz
lot,lɑt
meaning,ˈmi.nɪŋ
note,noʊt
press,prɛs
somewhat,ˈsʌm.wət
spring,sprɪŋ
treatment,ˈtrit.mənt
hotel,hoʊˈtɛl
placed,pleɪst
truth,truθ
apparently,əˈpɛ.rənt.li
carried,ˈkæ.rid
degree,dɪˈgri
groups,grups
he's,hiz
herself,hɚˈsɛlf
i've,aɪv
man's,mænz
numbers,ˈnʌm.bɚz
plant,plænt
respect,rɪˈspɛkt
wide,waɪd
easy,ˈi.zi
farm,fɑrm
manner,ˈmæ.nɚ
reaction,riˈæk.ʃən
approach,əˈproʊtʃ
game,geɪm
immediately,ɪˈmi.di.ət.li
larger,ˈlɑr.dʒɚ
lower,ˈloʊ.ɚ
recently,ˈri.sənt.li
running,ˈrʌ.nɪŋ
charge,tʃɑrdʒ
couple,ˈkʌ.pəl
daily,ˈdeɪ.li
de,də
eye,aɪ
feed,fid
oh,oʊ
performance,pɚˈfɔr.məns
arms,ɑrmz
blood,blʌd
c,si
march,mɑrtʃ
opportunity,ˌɑ.pɚˈtu.nə.ti
persons,ˈpɝ.sənz
understanding,ˌʌn.dɚˈstæn.dɪŋ
additional,əˈdɪ.ʃə.nəl
described,dɪsˈkraɪbd
fiscal,ˈfɪs.kəl
j.,dʒeɪ
progress,ˈprɑ.grɛs
radio,ˈreɪ.diˌoʊ
stop,stɑp
technical,ˈtɛk.nɪ.kəl
based,beɪst
chief,tʃif
decision,dɪˈsɪ.ʒən
determined,dɪˈtɝ.mənd
image,ˈɪ.mɪdʒ
main,meɪn
religion,rɪˈlɪ.dʒən
reported,rɪˈpɔr.təd
served,sɝvd
steps,stɛps
test,tɛst
window,ˈwɪn.doʊ
british,ˈbrɪ.tɪʃ
character,ˈkɛ.rɪk.tɚ
europe,ˈjʊ.rəp
gun,gʌn
middle,ˈmɪ.dəl
responsibility,rɪˌspɑn.səˈbɪ.lə.ti
account,əˈkaʊnt
appear,əˈpɪr
horse,hɔrs
learned,lɝnd
s.,ɛs
writing,ˈraɪ.tɪŋ
activity,ækˈtɪ.vɪ.ti
green,grin
length,lɛŋkθ
ones,wʌnz
serious,ˈsɪ.ri.əs
types,taɪps
activities,ækˈtɪ.vɪ.tiz
audience,ˈɔ.di.əns
corner,ˈkɔr.nɚ
forward,ˈfɔr.wɚd
letters,ˈlɛ.tɚz
lived,lɪvd
nuclear,ˈnu.kli.ɚ
obtained,əbˈteɪnd
returned,rɪˈtɝnd
slowly,ˈsloʊ.li
specific,spəˈsɪ.fɪk
design,dɪˈzaɪn
doubt,daʊt
gives,gɪvz
hit,hɪt
justice,ˈdʒʌs.tɪs
latter,ˈlæ.tɚ
moving,ˈmu.vɪŋ
obviously,ˈɑb.vi.ə.sli
plane,pleɪn
quality,ˈkwɑ.lɪ.ti
straight,streɪt
a.,eɪ
born,bɔrn
choice,tʃɔɪs
figures,ˈfɪ.gjɚz
function,ˈfʌŋk.ʃən
include,ɪnˈklud
operation,ˌɑ.pəˈreɪ.ʃən
parts,pɑrts
pattern,ˈpæ.tɚn
plans,plænz
poor,pʊr
saying,ˈseɪ.ɪŋ
seven,ˈsɛ.vən
shot,ʃɑt
staff,stæf
stay,steɪ
cars,kɑrz
sun,sʌn
whatever,ˌwʌˈtɛ.vɚ
faith,feɪθ
pool,pul
ball,bɔl
completely,kəmˈplit.li
corps,kɔrz
extent,ɪkˈstɛnt
heavy,ˈhɛ.vi
hospital,ˈhɑˌspɪ.təl
lack,læk
speak,spik
standard,ˈstæn.dɚd
waiting,ˈweɪ.tɪŋ
wish,wɪʃ
ahead,əˈhɛd
deep,dip
democratic,ˌdɛ.məˈkræ.tɪk
firm,fɝm
income,ˈɪnˌkʌm
language,ˈlæŋ.gwɪdʒ
principle,ˈprɪn.sə.pəl
there's,ðɛrz
visit,ˈvɪ.zɪt
analysis,əˈnæ.lɪ.sɪs
designed,dɪˈzaɪnd
distance,ˈdɪs.təns
effects,ɪˈfɛkts
established,ɪˈstæ.blɪʃt
expect,ɪksˈpɛkt
growing,ˈgroʊ.ɪŋ
importance,ɪmˈpɔr.təns
indicated,ˈɪn.dəˌkeɪ.təd
none,nʌn
price,praɪs
products,ˈprɑ.dəkts
attitude,ˈæ.təˌtud
cities,ˈsɪ.tiz
continue,kənˈtɪn.ju
determine,dɪˈtɝ.mən
division,dɪˈvɪ.ʒən
easily,ˈi.zə.li
elements,ˈɛ.lə.mənts
existence,ɛgˈzɪs.təns
leaders,ˈli.dɚz
negro,ˈni.groʊ
pretty,ˈprɪ.ti
serve,sɝv
stress,strɛs
afternoon,ˌæf.tɚˈnun
agreement,əˈgri.mənt
applied,əˈplaɪd
closed,kloʊzd
factors,ˈfæk.tɚz
hardly,ˈhɑrd.li
limited,ˈlɪ.mɪ.tɪd
remained,rɪˈmeɪnd
scene,sin
write,raɪt
attack,əˈtæk
b,bi
drive,draɪv
health,hɛlθ
interested,ˈɪn.trə.stɪd
married,ˈmɛ.rid
professional,prəˈfɛ.ʃə.nəl
reach,ritʃ
rhode,roʊd
season,ˈsi.zən
station,ˈsteɪ.ʃən
suggested,səgˈdʒɛs.tɪd
won't,woʊnt
becomes,bəˈkʌmz
covered,ˈkʌ.vɚd
current,ˈkʌ.rənt
despite,dɪˈspaɪt
eight,eɪt
i'd,aɪd
played,pleɪd
role,roʊl
spent,spɛnt
built,bɪlt
commission,kəˈmɪ.ʃən
council,ˈkaʊn.səl
date,deɪt
exactly,ɪˈgzækt.li
machine,məˈʃin
mouth,maʊθ
original,əˈrɪdʒ.ə.nəl
race,reɪs
reasons,ˈri.zənz
studies,ˈstʌ.diz
teeth,tiθ
unit,ˈju.nət
demand,dɪˈmænd
news,njuz
prepared,prɪˈpɛrd
rates,reɪts
related,rɪˈleɪ.tɪd
relations,riˈleɪ.ʃənz
rise,raɪz
supply,səˈplaɪ
bit,bɪt
director,dɪˈrɛk.tɚ
dropped,drɑpt
events,ɪˈvɛnts
james,dʒeɪmz
officer,ˈɔ.fɪ.sɚ
playing,ˈpleɪ.ɪŋ
raised,reɪzd
standing,ˈstæn.dɪŋ
sunday,ˈsʌnˌdeɪ
trees,triz
unless,ˌʌnˈlɛs
clay,kleɪ
doctor,ˈdɑk.tɚ
energy,ˈɛ.nɚ.dʒi
facilities,fəˈsɪ.lə.tiz
meant,mɛnt
places,ˈpleɪ.sɪz
sides,saɪdz
talking,ˈtɔ.kɪŋ
thomas,ˈtɑ.məs
walk,wɔk
actual,ˈæk.tʃəl
filled,fɪld
gas,gæs
glass,glæs
hadn't,ˈhæ.dənt
jazz,dʒæz
june,dʒun
knows,noʊz
poet,ˈpoʊ.ət
techniques,tɛkˈniks
bridge,brɪdʒ
caught,kɔt
chicago,ʃəˈkɑˌgoʊ
claim,kleɪm
concern,kənˈsɝn
entered,ˈɛ.nɚd
fight,faɪt
happy,ˈhæ.pi
he'd,hid
institutions,ˌɪn.stɪˈtu.ʃənz
mass,mæs
popular,ˈpɑ.pjə.lɚ
share,ʃɛr
style,staɪl
cattle,ˈkæ.təl
christ,kraɪst
communist,ˈkɑm.jə.nəst
dollars,ˈdɑ.lɚz
follow,ˈfɑ.loʊ
heat,hit
included,ɪnˈklu.dəd
isn't,ˈɪ.zənt
materials,məˈtɪ.ri.əlz
radiation,ˌreɪ.diˈeɪ.ʃən
status,ˈsteɪ.təs
suppose,səˈpoʊz
thousand,ˈθaʊ.zən
accepted,ækˈsɛp.tɪd
behavior,bɪˈheɪv.jɚ
books,bʊks
charles,ˈtʃɑ.rəlz
churches,ˈtʃɝ.tʃəz
conference,ˈkɑn.frəns
considerable,kənˈsɪ.dɚ.ə.bəl
film,fɪlm
giving,ˈgɪ.vɪŋ
opinion,əˈpɪn.jən
primary,ˈpraɪˌmɛ.ri
sitting,ˈsɪ.tɪŋ
usual,ˈju.ʒu.əl
attempt,əˈtɛmpt
changed,tʃeɪndʒd
construction,kənˈstrʌk.ʃən
funds,fʌndz
hell,hɛl
marriage,ˈmɛr.ɪdʒ
oil,ɔɪl
proper,ˈprɑ.pɚ
sea,si
sir,sɝ
successful,səkˈsɛs.fəl
arm,ɑrm
discussion,dɪˈskʌ.ʃən
everyone,ˈɛv.riˌwʌn
highly,ˈhaɪ.li
park,pɑrk
practice,ˈpræk.tɪs
shows,ʃoʊz
sign,saɪn
someone,ˈsʌmˌwʌn
source,sɔrs
tradition,trəˈdɪ.ʃən
wait,weɪt
worth,wɝθ
americans,əˈmɛ.rɪ.kənz
annual,ˈæn.ju.əl
authority,əˈθɔ.rə.ti
c.,si
lord,lɔrd
older,ˈoʊl.dɚ
project,ˈprɑ.dʒɛkt
remain,rɪˈmeɪn
success,səkˈsɛs
fell,fɛl
jack,dʒæk
leadership,ˈli.dɚˌʃɪp
obvious,ˈɑb.vi.əs
pieces,ˈpi.sɪz
principal,ˈprɪn.sə.pəl
thin,θɪn
base,beɪs
civil,ˈsɪ.vəl
complex,ˈkɑm.plɛks
condition,kənˈdɪ.ʃən
dinner,ˈdɪ.nɚ
entirely,ɪnˈtaɪ.ɚ.li
frequently,ˈfri.kwənt.li
management,ˈmæ.nədʒ.mənt
measure,ˈmɛ.ʒɚ
mike,maɪk
objective,əbˈdʒɛk.tɪv
parents,ˈpɛr.ənts
records,ˈrɛ.kɚdz
security,sɪˈkjʊ.rə.ti
structure,ˈstrʌk.tʃɚ
weight,weɪt
balance,ˈbæ.ləns
caused,kɑzd
corporation,ˌkɔr.pɚˈeɪ.ʃən
dance,dæns
